country_num	wevent	wpart_all	lpopw_part_all	duration	election_number	pm_t_vote	pm_t1_vote	day_t1	month_t1	year_t1	day_t	month_t	year_t	imf	bailout	crisis_election	east	coalition_government	unemployment_change	debt_change	gdp_change	swing	switzerland	pm_vote_change	country_iso	react_wevent	react_lpopw_part_all
22	25.0	30920.0	8066.339688301086	20.0	-1	13.7	12.41	9	9	2001	15	9	1997	0	0	0	0	0	-0.33	1.5	36.81492	5.8	0	-1.29	"N0"	18.0	77480.945
22	18.0	297001.0	77480.94787597656	48.0	0	12.41	6.8	11	9	2005	9	9	2001	0	0	0	0	0	1.0	16.4	28.08323	-1.25	0	-5.61	"N0"	32.0	176506.22
22	32.0	676586.0	176506.22330856323	48.0	1	32.7	35.4	13	9	2009	11	9	2005	0	0	1	0	0	-1.3	2.6	11.60212	8.41	0	2.700001	"N0"	9.0	8230.953
22	9.0	31551.0	8230.953567624092	48.0	2	35.4	30.8	8	9	2013	13	9	2009	0	0	1	0	0	0.2	-19.1	41.32055	2.700001	0	-4.600002	"N0"		
23	0.0		0.0	8.0	-1	27.9	28.62	22	1	2003	15	5	2002	0	0	0	0	0	0.1	-0.2	2.521635	9.5	0	0.7200012	"NL"	3.0	8096.8413
23	3.0	21600.0	8096.841247558594	46.0	0	28.62	26.5	22	11	2006	22	1	2003	0	0	0	0	0	-0.1	1.3	13.26589	0.6900005	0	-2.120001	"NL"	4.0	35985.96
23	4.0	96000.0	35985.9609375	43.0	1	26.5	13.6	9	6	2010	22	11	2006	0	0	1	0	0	1.3	9.0	8.621181	-2.120001	0	-12.9	"NL"	0.0	0.0
23	0.0		0.0	27.0	2	20.5	26.58	12	9	2012	9	6	2010	0	0	1	0	0	0.2	4.9	2.138588	5.8	0	6.08	"NL"		
24	328.0	327624.0	70407.53275084496	48.0	-1	41.0	11.31	25	9	2005	23	9	2001	0	0	0	1	0	0.2	8.9	15.13294	13.9	0	-29.69	"PL"	208.0	26249.168
24	208.0	122144.0	26249.168661117554	25.0	0	26.99	32.1	21	10	2007	25	9	2005	0	0	0	1	0	-8.5	2.0	27.24064	17.49	0	5.109999	"PL"	201.0	83794.3
24	201.0	389916.0	83794.29872369766	48.0	1	41.5	39.2	9	10	2011	21	10	2007	0	0	1	1	0	0.4	7.2	19.24392	17.36	0	-2.299999	"PL"	57.0	325945.06
24	57.0	1516704.5	325945.0534286499	49.0	2	39.2	24.1	25	10	2015	9	10	2011	0	0	1	1	1	-2.9	-3.1	12.51009727	-2.3	0	-15.1	"PL"		
25	6.0	20048.0	6016.546741485596	26.0	-1	44.1	37.9	17	3	2002	10	10	1999	0	0	0	0	1	-0.2	5.0	18.46042	0.2999992	0	-6.309998	"PT"	45.0	494873.88
25	45.0	1648991.0	494873.85998535156	42.0	0	40.1	28.7	25	9	2005	17	3	2002	0	0	0	0	0	3.5	5.1	9.747612	7.91	0	-11.41	"PT"	66.0	235562.44
25	66.0	784928.0	235562.4397392273	48.0	1	45.1	36.6	27	9	2009	25	9	2005	0	0	1	0	1	2.2	9.8	9.243936	7.209999	0	-7.299999	"PT"	70.0	461357.6
25	70.0	1537310.0	461357.59787249565	20.0	2	36.6	28.1	5	6	2011	27	9	2009	1	1	1	0	1	2.3	36.5	1.540979	-7.299999	0	-8.429167	"PT"	248.0	572374.4
25	248.0	1907234.0	572374.4055519104	52.0	3	50.4	38.86	4	10	2015	5	6	2011	1	1	1	0	1	0.1	17.6	1.817881483	10.9	0	-11.54	"PT"		
26	49.0	131286.0	33108.941693246365	11.0	-1	30.2	5.04	26	11	2000	3	11	1996	0	0	0	1	0	-0.72	15.1	40.05568	10.2	0	-25.16	"RO"	51.0	179328.12
26	51.0	711085.0	179328.12467458844	48.0	0	36.61	36.8	28	11	2004	26	11	2000	1	1	0	1	0	0.9	-0.2	50.21389	15.09	0	0.1899986	"RO"	28.0	427713.28
26	28.0	1696000.0	427713.28147888184	48.0	1	31.33	18.7	30	11	2008	28	11	2004	1	1	1	1	0	-2.3	-8.7	128.8839	43.96	0	-12.63	"RO"	43.0	403498.06
26	43.0	1599980.0	403498.05448532104	48.0	2	33.6	16.51	9	12	2012	30	11	2008	1	1	1	1	0	1.3	21.9	-5.857315	33.6	0	-17.09	"RO"		
27	28.0	10969.0	3331.4757862091064	32.0	-1	36.6	39.85	15	9	2002	20	9	1998	0	0	0	0	1	-3.9	-16.5	17.44216	-8.800003	0	3.25	"SE"	18.0	41644.508
27	18.0	137116.0	41644.50953102112	48.0	0	39.85	35.2	17	9	2006	15	9	2002	0	0	0	0	1	3.1	-4.3	19.28134	3.449997	0	-4.649998	"SE"	24.0	90365.03
27	24.0	297530.0	90365.03013801575	48.0	1	26.1	30.1	19	9	2010	17	9	2006	0	0	1	0	0	1.5	-7.8	9.986548	10.84	0	4.0	"SE"	3.0	433.10095
27	3.0	1426.0	433.1009668111801	48.0	2	30.1	23.33	14	9	2014	19	9	2010	0	0	1	0	1	0.0	7.2	16.68100877	3.9	0	-6.77	"SE"		
28	5.0	165000.0	94722.12524414062	48.0	-1	36.3	22.8	3	10	2004	15	10	2000	0	0	0	1	0	-0.5	3.1	26.4431	9.299999	0	-13.5	"SI"	16.0	278750.56
28	16.0	485566.0	278750.5640821457	48.0	0	29.1	29.6	21	9	2008	3	10	2004	0	0	0	1	0	-1.9	-4.1	36.78964	13.3	0	0.5	"SI"	10.0	243407.16
28	10.0	424000.0	243407.158203125	38.0	1	30.5	10.5	4	12	2011	21	9	2008	0	0	1	1	0	3.8	15.6	-2.938424	20.3	0	-20.0	"SI"	13.0	262798.78
28	13.0	457779.0	262798.7840528488	31.0	2	28.51	3.0	13	7	2014	4	12	2011	0	0	1	1	0	1.3	33.0	-2.420751	28.51	0	-25.51	"SI"		
29	40.0	286459.0	106633.08048605919	33.0	-1	26.3	8.25	21	9	2002	26	9	1998	0	0	0	1	0	6.5	15.2	30.24728	16.2	0	-18.05	"SK"	52.0	254513.39
29	52.0	683724.5	254513.38620495796	45.0	0	15.09	18.4	17	6	2006	21	9	2002	0	0	0	1	0	-3.4	-14.7	71.34689	15.09	0	3.309999	"SK"	10.0	102200.01
29	10.0	274550.0	102200.00821685791	48.0	1	29.1	34.8	12	6	2010	17	6	2006	0	0	1	1	0	0.2	1.4	48.07749	15.64	0	5.699999	"SK"	12.0	9589.045
29	12.0	25760.0	9589.044514894485	21.0	2	15.4	6.1	10	3	2012	12	6	2010	0	0	1	1	0	-1.2	8.0	7.889585	-3.0	0	-9.299999	"SK"		
30	158.0	128247.0	24904.92395454645	17.0	-1	43.2	40.68	7	6	2001	1	5	1997	0	0	0	0	1	-1.834	-10.8	35.85992	8.799999	0	-2.52	"UK"	125.0	387347.12
30	125.0	1994630.0	387347.1388347298	47.0	0	40.68	35.2	5	5	2005	7	6	2001	0	0	0	0	1	0.0	-0.2	12.54005	-2.52	0	-5.48	"UK"	561.0	1204043.5
30	561.0	6200178.0	1204043.4684984386	60.0	1	35.2	29.0	6	5	2010	5	5	2005	0	0	1	0	1	3.4	26.8	-7.247503	-5.48	0	-6.200001	"UK"	466.0	1270021.6
30	466.0	6539930.0	1270021.6014536023	60.0	2	36.1	36.8	7	5	2015	6	5	2010	0	0	1	0	1	-2.2	12.6	41.66969608	3.8	0	0.7	"UK"		
